0,1,2
87.94986058761955,554.6175826531718,bad
60.50486796376532,435.03163974857955,bad
63.004146318683425,423.86698790554465,bad
52.99196123327214,438.8378850735143,bad
57.85883155168127,432.83538375935655,bad
78.05199558682506,421.5434867518263,bad
56.94633537454101,428.3650505127904,bad
64.88238582376452,422.6699944291606,bad
63.6032487991251,429.5730460420759,bad
59.25980831439852,466.23540015789183,bad
56.949047499061386,455.38455963629093,bad
74.15862353208766,441.729852921143,bad
74.44161633334296,431.7351475661076,bad
58.88761739352897,486.7087944439987,bad
67.80890206407038,430.5469861481315,bad
91.76920769842668,404.5810106421035,bad
75.55565529837719,424.30371847555347,bad
80.51090649007841,431.4801915508999,bad
70.73542936338457,428.912304074619,bad
71.90352428185365,442.40256283968324,bad
92.45951174908318,408.1274710381023,bad
69.09560249097953,428.14516239814077,bad
75.3499637497279,444.8019835443432,bad
79.24128299791333,443.0637310135711,bad
98.81220582855777,410.44843903059086,bad
77.37175866007006,405.63735863184826,bad
84.54924977029586,417.3705287485817,bad
73.35993396176583,424.96212756081695,bad
75.55017850788256,431.7459950350321,bad
90.2967210103837,401.61055631987165,bad
65.87714086585035,432.35191779264085,bad
74.00742636153971,407.65439806448524,bad
58.878198396167534,452.16925801371093,bad
63.59552636526088,462.6887469021794,bad
80.11502982500268,433.22508316058025,bad
82.45348284136192,399.96608175480077,bad
50.616661183270914,472.4444741046458,bad
54.84508418738651,424.9286540956204,bad
79.88328074173008,408.3671856692391,bad
73.0724494358872,409.5162315121472,bad
64.9323044399441,449.2880237898369,bad
50.663990594159664,466.26128064531696,bad
71.97655005153986,438.7928049107987,bad
71.63485944313202,427.2529998925383,bad
75.05423380748304,415.40797780030795,bad
43.27411199466802,501.8768089889265,bad
92.32864990560269,395.1179624735222,bad
76.58153233761033,407.72861875567304,bad
72.06289180103708,422.8859867341342,bad
75.71956323466694,435.395111780337,bad
54.72055489116652,518.5857813341692,bad
22.04683996225704,735.3932550707974,bad
34.26401006707148,719.7366383130063,bad
36.46961013754707,681.1674904856433,bad
34.04605104174333,654.5153959916071,bad
29.686249015941943,690.6033479966908,bad
28.085237355163763,638.2997690338532,bad
32.56875776178268,646.863285133813,bad
26.073972835578168,612.3847463864657,bad
19.979210576539344,651.5599778366363,bad
25.960286569594746,634.298160585713,bad
22.425047014651415,604.5273910908361,bad
24.075130617237697,595.4962456436995,bad
35.938917094345065,644.1792702392863,bad
24.26843130512826,622.0914721667812,bad
22.778513707312122,599.9548318977148,bad
22.97828399945158,623.4020610400698,bad
29.256803234322838,642.1384188406638,bad
28.194794058084256,632.5823695117191,bad
29.161913476325527,642.0736409633585,bad
39.07554392872196,608.4756078569094,bad
26.510893043844806,612.6338213497546,bad
17.647119100559202,636.1296400695167,bad
23.870611758074787,616.51349262818,bad
27.840695561009976,633.8940654189597,bad
32.963307760949,606.6125654769126,bad
24.896796220751842,612.3078418669195,bad
25.13962324568029,614.6903756101956,bad
17.27488122284788,616.5346004582641,bad
20.30671360436915,585.2233171691713,bad
30.45200817166485,544.7856167553298,bad
25.048040006088964,602.6526703992337,bad
27.119867199071724,627.3528285748737,bad
37.80013526348636,589.5822345926186,bad
36.14878248612165,628.3807370921135,bad
29.538783586629012,600.2726700828789,bad
24.265174244648676,599.8314389084787,bad
21.336142903391487,601.1216562842374,bad
30.10345089062806,625.9765179886076,bad
24.71443936761241,599.3576518504697,bad
24.69278005027586,580.4928194237691,bad
34.985653292350555,582.2064008714264,bad
41.31410879898467,580.6515476202692,bad
32.128839048074155,597.0359333106992,bad
31.849093997918718,622.2554907467219,bad
32.61998020482494,669.5721873120099,bad
37.01632665912269,624.1596640191868,bad
31.786075653589993,613.8676158341597,bad
24.75353395595987,600.755773100106,bad
29.593936447590554,596.2536238980343,bad
27.68479114325705,599.0580161294137,bad
27.770132597579515,620.52700778245,bad
35.19276129051722,619.9657770816649,bad
20.844954942557454,594.0105192603561,bad
30.26602109308284,686.2672569478498,bad
26.48376300905839,624.5932657792122,bad
27.131407930024654,597.0027599826086,bad
30.71975393497622,530.5325909807193,bad
29.249702680003395,531.4550562691518,bad
40.09271234461472,471.04554260554545,bad
118.64600151722064,311.7921561290825,bad
